ID_SPARX_ERROR_UNKNOWN,发生了未知错误，请稍后再试。
ID_SPARX_ERROR_TEMP_BANNED,该账号已被冻结，无法继续使用，请联系官方客服获取更多信息。\n冻结结束时间：{0}
ID_SPARX_ERROR_BANNED,该账号已被冻结，无法继续使用，请联系官方客服获取更多信息。\n冻结结束时间：永久
ID_SPARX_ERROR_PUSH_BANNED,该账号已被冻结，无法继续使用，请联系官方客服获取更多信息。

ID_SPARX_CONTENT_CHECKING,检查新内容
ID_SPARX_CONTENT_DOWNLOAD_PROGRESS, 正在下载内容{0}/{1}： {2}%
ID_SPARX_CONTENT_EXTRACTING,解压新内容
ID_SPARX_CONTENT_FAILED,无法下载内容。请检查您的互联网设置，然后再试一次。
ID_SPARX_CONTENT_FAILED_EXTRACT,无法下载内容。请确保设备上有500M以上剩余存储空间。
ID_SPARX_CONTENT_RETRY,重试

ID_SPARX_OBB_ERROR,下载扩展包失败，外部存储不可用。

ID_SPARX_ERROR_MIN_VERSION,检查到新的版本，请更新游戏应用。

ID_SPARX_PASSED_TIME_FORMAT_MONTHES,{0}个月前
ID_SPARX_PASSED_TIME_FORMAT_WEEKS,{0}周前
ID_SPARX_PASSED_TIME_FORMAT_DAYS,{0}天前
ID_SPARX_PASSED_TIME_FORMAT_HOURS,{0}小时前
ID_SPARX_PASSED_TIME_FORMAT_MINUTES,{0}分钟前
ID_SPARX_PASSED_TIME_FORMAT_SECONDS,{0}秒前
ID_SPARX_PASSED_TIME_FORMAT_MONTH,{0}个月前
ID_SPARX_PASSED_TIME_FORMAT_WEEK,{0}周前
ID_SPARX_PASSED_TIME_FORMAT_DAY,{0}天前
ID_SPARX_PASSED_TIME_FORMAT_HOUR,{0}小时前
ID_SPARX_PASSED_TIME_FORMAT_MINUTE,{0}分钟前
ID_SPARX_PASSED_TIME_FORMAT_SECOND,{0}秒前

ID_SPARX_DURATION_FORMAT_DAYS,{0}天
ID_SPARX_DURATION_FORMAT_DAY,{0}天
ID_SPARX_DURATION_FORMAT_HOURS,{0}小时
ID_SPARX_DURATION_FORMAT_HOUR,{0}小时
ID_SPARX_DURATION_FORMAT_MINUTES,{0}分钟
ID_SPARX_DURATION_FORMAT_MINUTE,{0}分钟
ID_SPARX_DURATION_FORMAT_SECONDS,{0}秒
ID_SPARX_DURATION_FORMAT_SECOND,{0}秒

ID_SPARX_STATUS_ONLINE,在线
ID_SPARX_STATUS_OFFLINE,离线

ID_SPARX_APP_UPDATE_TITLE,更新
ID_SPARX_APP_UPDATE_MESSAGE,新版本已发布，点击确认下载最新版本。
ID_SPARX_SERVER_MAINTENANCE_TITLE,服务器维护，请稍后再试。
ID_SPARX_NETWORK_RETYR,网络不可用，是否重试？
ID_SPARX_NETWORK_CARRIER_DATA,当前不处于wifi环境中，可能会消耗您的移动流量，是否继续？
ID_SPARX_NETWORK_ERROR,网络错误，请检查网络设置！
ID_SPARX_LOGIN_RETRY,登录失败，是否重试？
ID_SPARX_APP_EXIT_CONFIRM,是否退出游戏？
ID_SPARX_NOTIFICATION_TITLE,温馨提示
ID_SPARX_AUDIO_VENDER,语音技术由科大讯飞提供
ID_SPARX_IAP_CALLBACK_TIMEOUT,购买超时，请重新登录。
ID_SPARX_CONTENT_DOWNLOADING_TITLE,下载中
ID_SPARX_CONTENT_DOWNLOADING_FORMAT,正在下载资源包{0}/{1}，请稍等片刻。

ID_SPARX_LOGIN_FAIL_MORE,无法登录,请重新启动游戏。
