ID_SPARX_ERROR_UNKNOWN,發生了未知錯誤，請稍後再試。
ID_SPARX_CONTENT_CHECKING,檢查新內容
ID_SPARX_CONTENT_DOWNLOAD_PROGRESS, 正在下載檔案{0}/{1}： {2}%
ID_SPARX_CONTENT_EXTRACTING,解壓新內容
ID_SPARX_CONTENT_FAILED,無法下載內容。請檢查您的互聯網設定，然後再試一次。
ID_SPARX_CONTENT_FAILED_EXTRACT,無法下載內容，請確保設備上有500M以上剩餘存儲空間。
ID_SPARX_CONTENT_RETRY,重試

ID_SPARX_OBB_ERROR,下載擴展包失敗，外部存儲不可用。

ID_SPARX_ERROR_MIN_VERSION,檢查到新的版本，請更新遊戲應用。

ID_SPARX_PASSED_TIME_FORMAT_MONTHES,{0}個月前
ID_SPARX_PASSED_TIME_FORMAT_WEEKS,{0}周前
ID_SPARX_PASSED_TIME_FORMAT_DAYS,{0}天前
ID_SPARX_PASSED_TIME_FORMAT_HOURS,{0}小時前
ID_SPARX_PASSED_TIME_FORMAT_MINUTES,{0}分鐘前
ID_SPARX_PASSED_TIME_FORMAT_SECONDS,{0}秒前
ID_SPARX_PASSED_TIME_FORMAT_MONTH,{0}個月前
ID_SPARX_PASSED_TIME_FORMAT_WEEK,{0}周前
ID_SPARX_PASSED_TIME_FORMAT_DAY,{0}天前
ID_SPARX_PASSED_TIME_FORMAT_HOUR,{0}小時前
ID_SPARX_PASSED_TIME_FORMAT_MINUTE,{0}分鐘前
ID_SPARX_PASSED_TIME_FORMAT_SECOND,{0}秒前

ID_SPARX_DURATION_FORMAT_DAYS,{0}天
ID_SPARX_DURATION_FORMAT_DAY,{0}天
ID_SPARX_DURATION_FORMAT_HOURS,{0}小时
ID_SPARX_DURATION_FORMAT_HOUR,{0}小时
ID_SPARX_DURATION_FORMAT_MINUTES,{0}分鐘
ID_SPARX_DURATION_FORMAT_MINUTE,{0}分鐘
ID_SPARX_DURATION_FORMAT_SECONDS,{0}秒
ID_SPARX_DURATION_FORMAT_SECOND,{0}秒

ID_SPARX_STATUS_ONLINE,線上
ID_SPARX_STATUS_OFFLINE,離線

ID_SPARX_APP_UPDATE_TITLE,更新
ID_SPARX_APP_UPDATE_MESSAGE,新版本已發佈，點擊確認下載最新版本。
ID_SPARX_SERVER_MAINTENANCE_TITLE,服務器維護，請稍後再試。
ID_SPARX_NETWORK_RETYR,網絡不可用，是否重試？
ID_SPARX_NETWORK_CARRIER_DATA,當前不處於wifi環境中，可能會消耗您的移動流量，是否繼續？
ID_SPARX_NETWORK_ERROR,網絡錯誤，請檢查網絡設定！
ID_SPARX_LOGIN_RETRY,登入失敗，是否重試？
ID_SPARX_APP_EXIT_CONFIRM,是否退出遊戲？
ID_SPARX_NOTIFICATION_TITLE,溫馨提示
ID_SPARX_AUDIO_VENDER,語音技術由科大訊飛提供
ID_SPARX_IAP_CALLBACK_TIMEOUT,購買超時，請重新登入。
ID_SPARX_CONTENT_DOWNLOADING_TITLE,下載中
ID_SPARX_CONTENT_DOWNLOADING_FORMAT,正在下載資源包{0}/{1}，請稍等片刻。

ID_SPARX_LOGIN_FAIL_MORE,無法登錄,請重新啟動遊戲。
